Study Hours,Sleep Hours,Social Media,Attendance,Past Avg Score,Final Score
7.2,8.02,2.38,93.36,71.93,140.87
7.07,5.87,3.49,90.59,52.06,122.23
6.12,5.16,2.49,57.94,76.69,113.59
4.46,3.92,3.54,98.98,74.48,104.33
4.3,8.71,3.9,53.35,94.46,110.81
1.67,8.7,4.28,70.77,54.59,75.61
1.16,6.48,1.24,64.64,62.43,71.72
2.36,6.1,0.52,97.63,73.17,97.09
6.81,3.7,2.46,80.85,71.76,120.45
5.6,3.99,0.96,54.76,90.19,112.93
3.44,5.99,0.52,93.15,95.39,113.99
6.48,8.59,0.62,68.38,65.37,129.51
7.86,7.41,0.97,61.17,51.44,130.01
3.57,4.53,4.53,89.69,61.75,88.28
2.5,3.57,1.96,61.87,60.26,71.97
7.63,6.93,3.43,62.05,54.64,123.07
4.02,4.94,0.3,93.71,64.44,104.33
6.73,3.52,0.18,95.89,66.68,126.26
6.29,6.71,3.32,69.64,97.34,129.92
2.37,5.82,3.35,75.94,94.46,92.67
7.57,5.56,0.13,66.13,89.46,140.16
2.31,6.41,2.99,89.26,69.98,88.79
6.1,3.91,0.62,61.59,68.84,111.44
3.03,5.34,1.61,89.49,96.83,105.65
1.94,6.32,0.14,93.94,84.05,97.96
1.49,7.16,1.99,53.59,96.87,85.76
6.13,7.21,0.84,85.78,82.54,133.88
3.44,7.16,0.85,69.35,81.82,104.28
1.68,6.61,2.15,88.76,95.68,95.54
4.38,3.06,4.07,58.93,54.05,79.82
7.19,6.15,4.21,52.32,81.38,123.0
4.18,3.56,3.13,98.89,64.49,97.57
6.59,8.85,2.22,67.85,61.99,126.62
2.32,5.63,0.64,59.86,64.69,80.36
4.19,4.74,1.97,57.47,81.52,97.87
7.35,7.24,0.34,54.01,77.52,134.38
4.25,5.47,3.79,80.02,97.59,110.1
1.71,8.04,4.67,61.08,72.2,77.37
6.7,3.92,3.78,77.81,87.16,122.75
2.47,6.03,0.7,91.25,92.85,103.4
6.15,3.68,0.98,69.99,80.41,117.62
1.79,7.84,2.17,86.08,78.99,92.69
3.86,3.66,2.38,58.36,77.54,89.47
5.16,4.23,0.38,91.67,83.53,119.33
7.59,6.38,4.32,70.67,73.21,129.3
1.67,5.68,0.39,51.95,59.04,70.47
1.01,6.91,2.05,50.25,70.77,69.1
1.85,3.52,4.06,80.1,96.21,81.58
6.07,8.8,2.04,69.64,78.06,129.06
3.31,4.14,3.03,82.09,89.77,96.72
2.01,4.71,1.35,90.64,50.69,77.0
4.16,6.73,0.2,60.33,73.34,104.67
6.16,4.91,1.44,95.08,54.53,117.63
4.8,4.32,1.62,91.36,78.0,111.51
6.83,8.92,1.27,77.05,51.85,129.53
4.52,5.29,2.7,71.4,61.59,97.25
7.8,3.25,2.36,84.71,77.25,131.55
4.75,4.57,1.79,87.67,51.69,99.89
1.85,5.12,0.31,69.84,56.0,74.71
1.3,7.02,1.91,50.54,54.94,66.08
1.02,3.8,3.2,95.83,81.52,75.58
1.06,5.99,4.47,52.04,73.03,63.43
4.54,3.25,4.27,98.19,68.07,98.77
2.7,3.83,1.62,87.03,64.82,84.57
5.92,7.33,0.36,73.12,75.38,126.63
3.23,3.05,1.03,83.98,88.07,96.56
2.47,4.84,1.0,55.5,84.7,85.3
2.74,7.45,4.15,60.94,88.99,92.58
4.37,3.59,1.56,90.01,67.51,101.03
7.28,7.75,2.55,76.51,88.08,141.85
2.97,7.8,1.61,68.29,78.96,98.98
1.91,3.29,2.3,91.94,73.46,79.4
1.86,5.33,3.65,67.61,95.87,84.03
7.61,3.36,1.48,58.62,79.91,125.13
4.0,7.96,3.31,64.53,66.16,99.09
2.48,8.39,1.34,72.92,50.56,86.93
2.42,6.72,3.97,57.27,83.26,84.5
2.54,6.92,2.37,54.58,78.67,86.72
6.17,6.28,3.74,84.57,54.04,113.84
7.22,5.31,0.94,93.73,81.01,139.59
6.33,4.4,0.75,66.92,59.65,112.59
2.52,7.4,0.57,61.43,50.88,82.48
4.62,4.96,4.39,50.94,85.57,97.24
1.73,8.53,2.83,95.26,83.73,97.59
4.31,5.17,3.72,66.52,50.8,87.13
6.89,5.56,2.31,65.46,58.85,117.27
7.48,8.79,3.71,94.31,56.61,137.24
6.62,6.14,3.22,74.76,85.35,128.14
4.37,5.25,2.64,71.53,57.52,94.25
7.82,3.64,0.72,77.68,79.83,135.09
7.42,7.98,0.98,97.44,53.89,139.58
6.6,8.87,1.57,86.62,59.92,132.84
3.75,8.63,4.85,62.74,77.62,99.76
3.95,6.35,0.62,75.95,73.74,105.69
7.18,6.07,0.16,87.87,62.76,134.0
2.0,4.86,0.55,74.06,86.44,88.27
1.51,6.97,3.73,73.92,89.5,84.98
6.66,4.7,2.05,55.43,92.62,123.65
4.35,7.24,0.24,90.28,95.29,125.57
1.22,6.88,3.14,99.58,83.21,88.52
1.23,7.68,3.64,84.24,56.63,74.79
1.54,4.17,4.86,94.32,50.68,65.27
5.49,6.75,2.26,73.65,50.16,107.34
4.59,7.42,4.74,89.59,70.35,109.07
2.09,4.61,3.83,96.84,87.63,89.07
3.45,5.1,2.35,69.73,56.09,85.0
1.67,4.54,4.97,58.29,90.23,72.27
7.17,3.09,0.81,74.25,83.24,127.74
3.11,8.88,1.7,93.16,54.74,101.1
6.11,8.76,0.73,76.92,79.2,134.59
1.26,8.63,4.2,85.4,68.94,82.06
4.91,4.04,3.97,99.07,97.33,117.02
3.34,8.57,0.48,79.9,95.83,117.12
4.65,3.95,3.27,83.43,91.91,108.96
3.4,8.38,4.44,75.92,54.94,91.6
1.85,3.45,4.92,98.6,74.16,76.36
7.01,5.22,1.14,96.0,57.18,128.16
4.45,5.88,2.24,85.01,68.55,106.09
6.58,7.31,1.46,58.82,97.34,134.85
7.76,3.31,0.41,73.98,58.33,124.42
6.3,5.39,1.18,71.26,97.67,130.92
7.17,4.4,3.04,59.12,90.76,125.73
7.37,3.14,0.23,65.44,58.3,118.26
5.76,5.98,0.7,68.08,93.41,126.11
5.77,3.43,3.72,80.66,68.33,106.32
5.97,3.44,1.76,69.03,82.73,114.3
6.34,7.05,4.48,95.4,72.72,126.92
3.64,8.81,4.79,52.75,87.61,100.5
3.13,6.88,2.31,50.98,87.06,94.3
2.15,7.32,3.19,60.82,81.62,85.85
5.0,4.12,3.02,82.81,63.99,101.78
5.81,7.03,1.11,78.2,63.92,120.17
3.53,7.67,3.7,99.7,55.38,99.42
7.08,4.67,0.07,50.58,96.7,131.46
5.97,7.86,0.14,76.76,51.83,120.81
7.47,3.15,3.83,60.98,66.91,114.06
6.22,4.38,3.22,66.49,54.33,104.38
5.69,4.53,1.5,52.65,57.6,100.6
4.22,6.58,2.35,91.85,51.83,101.35
1.71,4.79,1.75,85.75,86.54,86.61
1.82,7.05,2.32,65.79,81.64,85.25
4.26,7.27,3.07,86.57,68.77,107.48
7.43,6.85,3.17,77.83,93.62,141.85
5.27,8.02,3.78,53.97,89.92,116.11
4.0,4.45,0.95,64.03,94.43,104.45
2.88,5.05,1.08,78.01,68.58,89.78
2.52,8.36,0.27,93.58,79.54,107.11
7.88,3.39,2.67,57.34,95.71,131.21
4.45,7.16,2.24,74.59,58.88,102.96
4.63,3.36,4.39,81.87,59.52,91.36
6.78,4.4,1.06,82.17,69.6,124.6
1.71,8.58,0.79,86.38,74.05,95.11
2.34,5.29,3.99,82.67,72.61,82.8
1.1,6.51,0.57,73.16,81.82,83.0
4.11,5.07,1.8,55.87,84.67,99.2
3.75,3.96,2.11,76.23,67.07,91.08
6.63,5.53,2.94,56.71,51.1,107.8
6.91,7.33,0.45,98.61,69.83,140.81
2.13,6.44,0.04,87.28,79.53,96.41
2.94,4.13,4.51,98.59,56.42,81.97
7.82,8.07,3.58,65.19,59.47,130.78
4.38,6.76,0.72,69.89,59.27,102.92
5.14,7.92,1.59,90.21,87.96,129.12
6.29,4.37,2.07,90.34,75.61,122.95
5.85,6.02,0.54,75.42,95.3,130.33
6.59,3.63,0.85,75.87,69.83,119.17
6.66,8.52,4.12,84.04,75.78,132.8
2.5,5.99,2.39,81.6,82.47,93.17
7.46,8.94,2.49,85.86,59.09,138.35
4.84,3.59,3.37,67.26,80.83,100.08
5.02,6.88,2.26,66.62,65.75,107.56
3.99,6.15,0.82,78.48,77.14,107.14
5.3,8.04,4.03,61.43,52.97,103.41
2.42,4.32,0.7,75.57,66.99,82.8
2.43,7.56,4.8,68.7,87.17,90.42
3.19,6.09,4.13,73.05,80.98,93.04
4.89,7.59,1.33,82.56,94.01,126.48
1.58,8.25,3.93,75.51,85.39,87.89
1.12,4.52,1.22,55.83,50.83,58.3
1.66,8.79,4.06,96.15,85.7,96.3
2.8,8.75,0.25,96.67,67.23,106.84
7.17,7.3,3.51,78.14,69.28,130.6
4.08,4.62,2.66,98.07,86.26,109.14
7.05,5.63,2.09,72.12,58.09,121.03
1.24,3.31,0.53,59.38,97.91,77.0
1.38,8.31,0.19,94.98,81.88,98.25
2.33,4.14,3.77,96.27,50.67,75.04
7.15,5.83,2.73,79.96,95.49,138.59
4.82,5.25,4.71,69.4,77.61,101.61
5.54,3.82,3.75,57.38,87.52,106.08
3.8,6.01,2.88,72.86,88.49,103.74
6.84,3.55,0.09,54.97,59.47,112.34
7.38,8.93,0.04,54.65,60.62,133.76
7.54,5.93,2.48,55.97,54.3,119.16
3.71,4.71,1.14,66.02,94.58,102.9
2.92,8.42,2.82,53.18,91.39,98.4
4.87,7.6,4.71,66.11,60.31,101.21
4.22,7.51,3.83,92.45,63.32,105.87
1.39,8.42,3.05,71.27,94.31,90.73
3.25,4.96,4.34,72.06,52.33,77.96
6.65,5.39,1.81,53.53,69.56,116.32
3.09,3.96,2.79,78.0,73.71,87.01
6.83,6.17,4.65,94.34,63.45,124.41
3.45,8.82,3.96,63.98,97.55,107.79
7.85,5.99,3.28,87.32,62.93,133.4
4.55,7.63,4.19,93.05,62.06,108.2
7.02,6.74,4.47,71.55,62.0,120.69
1.22,7.87,2.73,61.43,77.69,78.62
6.57,3.9,3.49,70.31,86.53,119.59
7.59,6.39,1.3,63.22,63.48,129.25
5.31,3.14,2.1,63.86,70.29,100.25
1.72,6.16,0.97,92.32,88.83,95.26
6.76,8.72,0.87,60.23,66.26,129.79
1.02,3.39,0.42,91.95,57.41,69.1
4.34,6.22,4.12,64.13,57.82,91.88
6.86,7.58,4.21,51.26,83.69,124.88
7.69,3.06,3.02,64.05,59.92,115.56
4.07,8.59,3.95,72.38,78.91,107.77
2.59,3.86,1.1,99.42,62.8,87.6
6.33,8.88,0.44,87.51,61.06,133.44
3.64,5.09,2.77,98.42,93.19,109.3
4.98,6.99,0.38,52.48,67.58,107.81
1.57,4.17,4.84,78.08,50.93,60.77
7.87,3.72,2.4,90.0,67.61,131.21
4.57,4.64,3.87,82.35,72.35,100.99
3.63,3.85,2.05,82.98,86.9,99.77
6.85,5.18,3.48,78.06,69.43,121.44
5.25,7.03,4.14,78.77,97.99,122.91
2.11,7.88,2.2,86.36,84.78,98.1
5.75,6.43,3.36,97.52,74.05,123.21
7.9,5.93,2.41,95.06,51.89,133.37
1.45,6.37,0.51,82.07,59.1,79.36
3.59,8.23,1.86,83.41,84.61,112.16
4.11,7.84,1.91,87.48,92.67,120.02
6.09,3.01,3.07,93.82,52.69,106.93
7.32,6.84,1.42,51.99,77.77,130.26
3.26,7.59,2.36,79.97,91.22,107.92
6.14,8.92,2.21,62.11,85.83,130.57
7.43,8.54,3.43,59.84,78.88,135.14
5.56,3.0,4.01,88.8,96.75,116.35
5.68,4.68,2.78,67.46,59.75,103.78
1.46,3.15,4.21,95.62,56.07,65.23
7.19,7.47,4.99,52.75,51.77,113.62
3.76,5.47,3.43,71.0,62.63,89.73
5.4,6.62,4.34,68.2,76.23,110.75
7.56,7.17,0.25,84.29,84.1,147.93
1.03,8.88,4.77,50.33,92.92,78.64
3.33,8.22,3.35,97.65,51.86,98.01
4.81,5.53,0.32,83.37,72.8,113.37
2.57,4.2,0.79,89.32,79.68,92.84
4.57,7.73,3.84,65.38,86.97,111.07
5.85,4.39,1.7,94.15,77.0,121.48
5.47,8.55,4.83,91.72,73.17,122.03
3.42,6.83,1.65,75.66,96.34,109.25
5.91,3.53,0.07,89.22,74.17,120.09
6.85,6.12,4.12,99.84,92.79,138.81
5.92,6.83,4.67,51.85,69.74,107.87
5.62,8.53,0.09,87.65,82.33,135.21
3.92,7.77,4.91,92.55,62.65,101.57
3.08,6.18,0.83,77.82,92.94,105.18
2.45,4.78,1.06,98.28,92.7,100.85
6.99,5.6,1.18,96.59,70.1,134.31
3.91,5.56,2.39,60.9,57.57,88.4
2.57,3.43,3.18,72.04,96.0,87.08
7.84,5.68,1.57,73.12,81.78,139.08
3.16,5.96,2.46,80.75,52.54,86.65
6.89,8.68,2.06,54.38,58.47,123.63
6.76,5.99,3.4,97.26,68.44,128.6
1.91,6.13,3.8,98.83,63.24,82.96
1.13,7.42,3.24,91.84,61.14,77.98
1.95,6.42,1.41,86.07,74.33,89.56
2.02,4.82,4.19,83.55,69.67,77.22
5.19,4.84,4.47,57.96,91.74,106.41
5.85,7.19,2.03,55.47,95.27,124.97
2.02,8.92,0.89,55.08,76.68,90.37
1.87,4.16,1.56,50.9,61.2,65.97
3.23,6.83,3.55,71.0,76.59,94.36
1.43,8.62,2.71,62.88,74.07,81.79
2.09,5.21,2.44,68.7,80.19,82.27
1.22,3.75,2.02,77.31,81.16,73.85
5.52,8.91,4.64,59.97,77.68,116.24
4.32,5.86,4.48,98.6,50.32,97.22
6.43,8.13,2.65,54.33,69.47,121.02
1.01,7.64,4.19,77.42,59.28,70.55
1.39,5.23,1.98,82.27,59.95,72.91
1.82,8.57,3.83,64.37,84.13,87.36
4.21,6.39,3.85,88.85,74.01,105.63
7.48,4.47,4.35,68.22,89.37,128.27
3.93,8.25,1.8,82.28,59.3,104.94
7.97,4.55,3.17,86.35,53.86,126.45
3.97,3.83,4.18,58.11,91.62,92.91
7.06,3.76,0.23,87.9,52.39,121.68
2.76,8.24,4.06,51.33,94.69,94.68
2.9,6.53,2.41,60.29,51.34,79.44
6.98,8.11,1.27,56.89,89.21,137.35
1.79,8.07,2.13,63.25,82.32,87.95
5.05,6.14,0.06,56.13,86.43,115.14
1.35,5.55,3.39,58.75,56.62,62.3
2.46,6.95,2.68,75.45,81.98,93.11
3.39,6.26,4.24,57.25,71.6,86.63
2.0,7.47,2.4,97.25,95.6,103.02
2.73,3.22,4.33,77.41,91.68,85.45
5.5,5.84,3.78,72.73,73.65,110.77
5.97,8.97,2.75,89.21,72.75,130.98
2.36,6.78,1.09,83.36,69.28,92.15
7.97,4.29,2.45,75.36,71.73,131.01
7.21,3.08,4.86,52.14,74.67,109.88
1.93,5.22,2.56,55.57,75.94,74.92
5.57,8.76,1.41,76.13,93.88,133.96
2.34,3.98,2.12,89.9,75.53,85.91
5.54,7.77,0.17,99.94,87.77,137.91
5.14,8.07,2.07,52.64,50.66,102.33
7.64,7.8,4.38,88.45,69.68,137.85
4.26,5.38,0.8,83.29,84.96,111.88
5.87,7.39,4.15,72.08,90.16,124.42
1.56,4.58,3.33,80.25,50.6,65.42
1.03,4.33,1.06,96.53,74.97,79.07
3.11,6.01,3.68,92.43,78.47,97.76
2.31,5.03,4.75,54.88,93.87,80.36
7.55,7.89,3.81,72.43,95.78,143.98
7.66,7.58,3.23,64.98,62.05,129.58
6.89,5.55,4.84,94.05,51.35,117.74
4.54,8.23,2.15,82.13,88.04,121.13
5.75,3.25,4.61,64.29,60.97,95.94
7.15,3.71,4.95,75.76,86.66,122.96
6.64,5.8,4.26,66.02,69.92,116.43
1.91,5.03,1.84,88.75,57.18,78.11
4.54,6.76,4.58,73.25,96.13,112.43
4.59,8.41,3.09,79.37,84.89,118.17
3.65,7.66,1.98,82.16,95.72,114.83
2.19,6.65,0.77,74.95,84.83,94.57
5.88,8.59,1.02,87.69,66.45,129.54
4.73,6.11,1.48,68.41,92.65,115.51
3.83,6.02,4.93,85.73,60.56,92.6
6.62,4.11,1.09,56.86,73.79,116.33
3.99,5.15,4.97,82.68,54.68,88.08
7.96,4.93,1.53,96.64,60.44,136.59
6.33,4.43,1.05,71.26,61.87,114.25
7.59,5.58,0.47,59.25,65.5,128.07
6.43,7.41,4.33,59.56,83.44,122.66
5.48,6.94,1.01,89.56,95.49,133.16
2.06,4.24,2.48,51.69,93.75,79.32
6.12,5.38,1.01,75.46,83.37,125.19
2.27,5.2,0.82,79.84,88.67,93.83
3.96,3.97,0.99,60.65,85.55,98.01
1.76,6.69,2.78,53.83,96.21,84.95
5.77,7.7,3.45,94.64,85.16,130.57
1.94,5.47,0.39,56.2,62.2,74.8
5.1,6.02,3.36,99.03,69.27,114.65
1.44,4.84,4.07,76.2,87.4,77.18
6.07,8.49,3.34,54.86,95.23,128.03
3.2,5.52,2.07,93.59,77.38,100.28
2.49,4.53,1.13,60.9,57.63,75.07
4.39,5.3,1.72,72.02,90.85,109.93
7.18,6.52,4.58,73.87,83.43,130.58
6.78,7.97,1.45,58.79,79.49,131.5
7.68,6.83,0.03,88.88,77.98,147.38
4.52,6.84,3.36,64.79,62.72,99.01
5.27,7.69,3.26,58.37,94.34,119.25
7.68,7.15,4.24,85.36,77.58,138.77
4.99,6.8,2.33,63.03,57.88,102.76
1.99,5.87,3.29,81.34,87.29,88.25
1.27,8.91,2.38,98.86,57.63,86.12
7.73,8.45,2.42,75.32,79.02,144.29
2.17,8.27,0.19,93.28,64.38,97.69
1.73,7.66,3.51,54.85,85.23,82.13
4.51,6.5,3.74,62.19,52.06,92.11
7.04,5.48,0.48,52.52,71.78,123.31
1.32,4.16,3.84,85.49,65.26,68.48
5.42,3.91,3.42,50.84,66.17,95.35
7.69,5.8,4.02,53.77,53.05,115.89
6.03,8.28,4.18,69.08,91.97,128.25
1.25,4.62,1.4,88.91,75.39,79.15
4.74,6.23,3.12,71.39,50.63,96.81
1.13,3.16,4.81,64.61,52.37,50.36
3.78,6.74,3.58,59.57,80.42,97.09
6.26,7.26,1.49,62.04,81.51,126.38
6.55,7.04,3.71,63.46,93.19,129.0
7.82,3.42,1.26,97.46,59.58,131.18
6.73,4.07,0.08,98.48,96.43,140.72
5.35,3.76,0.18,51.84,96.19,113.13
5.91,5.55,1.98,75.63,92.99,125.78
4.4,7.31,0.6,71.79,82.73,114.94
3.43,6.02,3.94,83.73,61.06,90.64
6.9,8.03,0.01,88.52,56.64,135.43
5.37,3.16,2.22,87.65,51.55,100.34
6.06,7.58,5.0,59.95,96.07,123.65
4.35,8.42,1.43,66.93,86.92,116.44
4.62,6.51,0.67,68.39,91.05,116.74
4.18,7.48,3.44,63.63,73.2,101.55
7.77,4.87,0.76,75.48,50.49,125.89
6.86,8.37,4.08,73.16,76.69,131.35
4.85,4.67,4.86,57.26,55.49,87.29
2.51,3.1,4.96,93.36,67.25,76.85
6.86,5.44,5.0,93.96,72.88,125.4
1.16,4.29,1.8,81.91,60.81,68.56
2.01,6.6,0.57,86.87,58.55,86.23
6.01,7.92,4.62,50.73,91.02,120.21
3.86,4.52,3.63,90.4,71.98,96.95
7.53,3.28,4.94,60.96,65.41,112.19
6.55,8.33,1.29,82.27,75.04,136.07
2.24,4.66,2.45,64.26,75.29,78.62
5.31,4.56,2.46,64.79,70.18,104.08
2.63,3.0,2.07,66.04,60.61,72.61
1.49,4.23,4.92,72.05,61.37,62.4
3.47,4.87,0.91,87.24,81.57,102.81
5.32,8.0,3.84,87.09,90.73,126.62
1.28,8.92,0.05,73.26,92.26,97.03
5.75,7.05,4.67,82.54,79.81,120.27
5.72,4.6,1.28,79.97,77.98,117.89
6.75,3.99,2.73,73.9,66.36,116.01
6.81,4.04,2.92,59.02,83.43,118.68
5.4,8.96,1.23,62.06,75.45,121.8
3.8,7.04,2.49,97.67,81.72,112.3
5.59,4.84,1.39,67.44,83.63,115.75
2.98,8.76,3.96,94.58,67.82,100.71
3.74,7.0,2.94,89.11,88.45,110.93
4.55,6.11,0.28,78.88,50.18,102.45
3.55,4.8,1.38,76.26,88.05,101.69
5.38,4.89,2.06,73.45,73.27,110.3
7.41,4.72,4.1,94.44,90.8,137.26
5.89,4.82,4.96,92.27,66.35,111.81
3.55,5.52,1.3,60.91,80.85,96.47
7.16,3.75,4.08,71.23,54.76,110.78
3.77,5.63,1.93,90.9,51.99,95.06
4.75,5.29,4.51,82.37,93.01,111.48
5.58,3.62,1.37,73.26,86.0,114.7
5.32,7.47,3.53,82.6,57.48,111.03
7.37,6.2,2.1,92.69,59.1,132.2
3.22,8.68,4.54,97.89,96.11,113.71
1.83,3.3,2.24,93.99,50.67,70.31
4.99,3.73,0.68,79.71,59.36,102.41
1.66,4.17,4.89,73.74,51.82,60.55
3.3,8.86,3.74,60.31,58.59,90.3
6.63,3.04,4.72,54.14,91.2,112.03
3.54,5.16,1.89,60.08,84.71,95.42
7.22,5.19,1.35,50.19,86.51,127.55
6.76,7.34,4.93,98.21,78.38,133.8
6.6,3.02,0.92,77.57,87.0,124.71
3.68,5.01,1.15,60.38,56.48,86.49
5.71,8.58,3.04,69.52,74.06,121.55
7.44,8.83,0.93,77.06,52.67,135.77
2.56,4.21,3.88,83.99,72.9,82.28
1.24,7.07,2.23,68.16,78.62,79.81
6.78,4.15,3.57,76.34,77.64,120.3
2.94,3.58,0.79,59.27,87.83,88.5
4.1,5.51,2.25,72.25,91.42,107.14
3.54,6.95,0.91,90.85,97.22,117.05
2.82,8.4,0.58,89.35,72.23,105.11
3.37,5.9,2.03,51.2,79.75,91.21
4.13,6.72,1.3,89.18,70.32,109.65
4.88,7.23,3.0,71.29,60.88,105.36
6.44,5.98,4.2,57.54,78.03,116.0
2.62,5.77,4.1,69.27,52.39,74.43
4.58,8.43,2.8,98.14,56.33,112.9
1.25,8.81,3.37,53.81,94.93,85.07
6.01,6.75,4.62,55.65,83.14,115.06
2.13,4.2,4.06,75.29,74.44,76.01
2.08,3.11,4.12,91.19,85.64,81.47
2.16,8.32,0.88,74.01,60.77,89.2
5.42,3.54,3.42,66.08,74.53,102.15
3.45,7.5,3.42,58.56,67.51,91.27
6.23,5.06,2.3,64.71,80.42,118.22
3.17,6.04,2.38,89.8,74.32,98.59
4.86,6.83,3.54,52.08,96.05,111.17
3.02,6.32,2.11,87.0,80.51,100.22
1.73,6.06,2.0,80.28,86.85,88.53
7.62,4.56,4.76,55.53,70.92,117.82
4.66,5.62,4.3,76.05,90.59,109.26
2.54,5.96,2.22,70.78,94.88,95.54
4.39,8.26,3.25,74.82,78.91,111.83
4.13,8.43,0.11,92.77,84.64,123.92
7.85,4.16,4.62,76.07,82.94,129.93
1.6,7.17,1.55,50.57,60.38,72.12
1.63,6.5,3.28,74.31,52.95,71.05
2.03,5.81,4.1,86.47,50.86,73.77
1.56,4.44,3.52,50.02,58.82,58.83
1.05,5.67,1.98,51.31,58.27,61.21
2.4,4.89,0.49,87.95,70.82,90.06
1.96,8.59,2.49,79.04,77.29,93.1
7.18,7.81,1.04,80.31,90.72,146.34
1.35,7.55,0.4,53.86,95.55,88.37
5.94,7.82,3.42,77.98,58.31,116.81
4.2,6.66,3.25,68.06,82.23,104.58
5.62,6.81,2.0,68.13,60.55,111.66
6.89,5.09,0.46,91.46,68.24,131.07
5.61,8.42,0.59,64.01,93.65,131.23
1.14,4.73,4.28,56.08,56.96,55.47
7.55,5.95,3.55,72.3,90.47,136.56
3.76,7.81,1.72,67.46,56.88,96.79
7.94,4.13,4.26,97.61,59.6,128.44
4.09,4.59,3.27,88.23,83.69,103.94
2.38,6.16,2.71,65.0,60.56,78.23
3.87,3.42,1.0,89.18,78.71,101.34
6.82,3.14,0.99,81.25,61.61,117.83
4.91,7.24,1.89,81.96,88.71,122.24
3.03,6.01,4.19,75.27,54.34,81.2
4.33,5.26,3.96,87.46,86.04,107.49
2.57,7.2,4.47,72.78,55.51,79.85
6.82,5.93,4.39,96.0,73.82,128.68
3.61,7.48,1.91,66.06,95.45,109.07
6.39,3.66,3.37,50.6,53.99,98.51
1.76,7.64,4.61,84.2,77.29,85.72
6.63,7.19,2.84,83.02,70.17,128.51
7.54,8.56,4.1,95.06,91.83,150.56
7.32,4.0,0.91,82.43,61.61,125.4
7.0,5.77,1.95,73.44,86.51,133.04
5.75,5.31,1.56,93.23,62.96,117.75
1.89,3.56,0.1,87.73,89.95,89.79
7.64,3.08,0.4,89.78,83.05,137.34
2.61,5.77,4.7,73.86,54.57,75.34
6.16,5.05,4.19,78.53,90.75,122.04
2.67,8.26,2.56,62.85,51.29,83.05
6.83,8.37,0.72,98.43,89.73,150.53
5.84,5.26,1.19,87.21,88.05,127.33
4.78,5.53,2.39,76.06,87.0,112.42
6.18,5.83,3.25,96.94,58.82,119.25
1.75,5.87,3.68,91.35,94.18,91.05
3.23,8.39,0.37,69.06,80.21,106.33
1.66,8.67,3.5,94.5,89.03,97.93
2.79,5.62,0.26,62.09,85.7,94.37
7.02,5.76,4.75,96.65,50.36,120.06
5.58,5.14,1.3,96.95,83.99,125.74
2.52,6.58,0.6,83.29,69.19,93.91
5.21,6.71,1.43,80.72,57.42,111.38
7.53,3.58,1.41,51.75,55.2,113.28
6.8,4.86,3.9,87.1,74.89,124.08
7.97,6.84,2.15,55.34,50.58,124.8
1.84,4.96,3.79,81.65,69.43,76.1
4.99,3.37,0.74,66.64,85.22,107.63
6.32,7.84,2.7,62.68,83.27,127.09
7.06,5.07,2.94,99.0,61.63,127.19
7.94,3.04,1.75,80.19,93.26,138.47
4.61,3.25,0.97,60.25,78.95,98.96
1.6,5.55,0.32,83.85,91.03,92.01
7.03,4.94,2.62,67.88,52.73,114.33
5.02,3.84,0.17,51.65,87.16,106.75
6.94,3.76,4.61,92.98,60.13,116.5
3.02,3.52,0.93,52.64,83.54,85.13
1.98,4.36,0.86,71.13,91.92,87.31
4.9,6.44,2.75,56.73,77.37,105.87
3.89,6.65,3.39,77.22,70.07,99.39
6.51,3.26,1.03,88.11,53.86,114.33
5.61,7.63,2.28,52.23,59.16,108.15
1.38,6.89,3.28,55.07,66.32,69.62
7.48,6.25,4.64,71.92,96.63,137.03
4.58,5.89,0.86,91.22,59.09,108.13
1.09,5.96,1.42,65.15,52.51,65.43
7.38,8.46,1.93,50.02,69.48,130.78
7.73,8.47,1.75,93.29,71.1,147.91
3.84,5.11,1.98,74.06,51.1,88.62
7.39,8.48,3.42,94.33,89.42,149.14
7.55,3.89,1.33,83.77,76.79,132.82
4.95,3.25,4.22,92.42,86.5,108.21
3.56,4.97,2.6,87.26,51.67,88.59
5.07,6.08,4.94,58.61,91.85,108.29
4.97,3.76,2.63,56.37,57.87,90.84
3.83,5.36,2.99,59.07,72.01,91.1
4.25,4.47,1.02,78.52,90.89,109.58
3.37,8.34,4.22,90.18,68.16,101.21
2.54,6.1,3.9,96.24,62.36,87.17
5.69,8.36,2.08,64.98,96.77,130.33
1.64,3.36,0.01,67.87,85.8,79.48
6.62,3.91,1.65,82.4,77.46,123.68
2.48,6.17,1.29,99.56,82.12,100.95
6.7,5.25,3.4,85.77,69.59,122.86
1.74,8.88,0.8,87.34,50.94,87.31
2.71,5.75,1.3,64.79,81.71,91.11
1.13,4.1,4.32,62.68,73.32,61.98
7.06,6.81,3.16,92.62,84.9,139.4
4.37,8.72,4.48,90.43,71.56,112.25
5.36,7.5,3.8,68.75,59.47,107.51
7.67,7.92,1.49,64.65,53.79,130.77
7.35,7.24,4.14,89.79,96.9,145.33
4.61,3.64,4.92,53.44,97.97,97.78
3.98,7.57,2.92,87.06,90.29,114.93
5.29,8.44,1.8,67.18,67.24,116.38
3.93,3.42,4.43,52.17,94.01,90.0
6.92,3.1,2.71,73.31,62.28,113.11
1.35,7.23,2.19,70.64,61.97,75.41
5.54,7.56,3.2,68.43,57.3,109.54
